Date,Close_sp500,Close_tbill,Close_msft
2001-02-08,1332.53,4.94,31.03
2001-02-09,1314.76,4.91,29.47
2001-02-12,1330.31,4.92,29.28
2001-02-13,1318.8,4.91,29.0
2001-02-14,1315.92,4.93,29.1
2001-02-15,1326.61,4.94,29.31
2001-02-16,1301.53,4.88,28.56
2001-02-20,1278.94,4.91,27.85
2001-02-21,1255.27,4.88,28.03
2001-02-22,1252.82,4.87,27.51
2001-02-23,1245.86,4.75,28.28
2001-02-26,1267.65,4.7,29.68
2001-02-27,1257.94,4.68,29.59
2001-02-28,1239.94,4.72,29.41
2001-03-01,1241.23,4.7,29.58
2001-03-02,1234.18,4.71,28.25
2001-03-05,1241.41,4.72,28.63
2001-03-06,1253.8,4.65,29.62
2001-03-07,1261.89,4.56,30.25
2001-03-08,1264.74,4.55,29.53
2001-03-09,1233.42,4.6,28.25
2001-03-12,1180.16,4.54,25.89
2001-03-13,1197.66,4.51,27.01
2001-03-14,1166.71,4.42,26.91
2001-03-15,1173.56,4.38,26.76
2001-03-16,1150.53,4.41,27.19
2001-03-19,1170.81,4.44,27.07
2001-03-20,1142.62,4.38,26.26
2001-03-21,1122.14,4.19,24.95
2001-03-22,1117.58,4.15,26.91
2001-03-23,1139.83,4.17,28.19
2001-03-26,1152.69,4.15,27.94
2001-03-27,1182.17,4.24,29.03
2001-03-28,1153.29,4.23,27.69
2001-03-29,1147.95,4.22,27.6
2001-03-30,1160.33,4.18,27.26
2001-04-02,1145.87,4.15,27.82
2001-04-03,1106.46,4.04,26.6
2001-04-04,1103.25,4.0,25.89
2001-04-05,1151.44,3.99,28.28
2001-04-06,1128.43,3.84,28.0
2001-04-09,1137.59,3.83,28.48
2001-04-10,1168.38,3.83,29.74
2001-04-11,1165.89,3.98,29.92
2001-04-12,1183.5,3.9,30.99
2001-04-16,1179.68,4.03,30.3
2001-04-17,1191.81,4.0,30.64
2001-04-18,1238.16,3.8,32.61
2001-04-19,1253.69,3.76,33.91
2001-04-20,1242.98,3.67,34.39
2001-04-23,1224.36,3.63,34.02
2001-04-24,1209.47,3.69,33.67
2001-04-25,1228.75,3.74,34.73
2001-04-26,1234.52,3.73,34.45
2001-04-27,1253.05,3.74,33.45
2001-04-30,1249.46,3.83,33.77
2001-05-01,1266.44,3.81,34.97
2001-05-02,1267.43,3.79,34.77
2001-05-03,1248.58,3.75,34.16
2001-05-04,1266.61,3.64,35.26
2001-05-07,1263.51,3.62,35.58
2001-05-08,1261.2,3.59,35.91
2001-05-09,1255.54,3.63,35.09
2001-05-10,1255.18,3.62,34.89
2001-05-11,1245.67,3.68,34.59
2001-05-14,1248.92,3.61,34.25
2001-05-15,1249.44,3.54,34.03
2001-05-16,1284.99,3.48,34.47
2001-05-17,1288.49,3.48,33.98
2001-05-18,1291.96,3.51,33.94
2001-05-21,1312.83,3.54,34.28
2001-05-22,1309.38,3.56,35.04
2001-05-23,1289.05,3.56,34.74
2001-05-24,1293.17,3.6,35.75
2001-05-25,1277.89,3.57,35.34
2001-05-29,1267.93,3.6,35.06
2001-05-30,1248.08,3.59,34.48
2001-05-31,1255.82,3.54,34.48
2001-06-01,1260.67,3.54,35.06
2001-06-04,1267.11,3.59,35.28
2001-06-05,1283.57,3.53,36.18
2001-06-06,1270.03,3.53,36.06
2001-06-07,1276.96,3.52,36.72
2001-06-08,1264.96,3.53,36.48
2001-06-11,1254.39,3.51,35.94
2001-06-12,1255.85,3.47,35.92
2001-06-13,1241.6,3.46,35.23
2001-06-14,1219.87,3.44,34.34
2001-06-15,1214.36,3.43,33.9
2001-06-18,1208.43,3.4,33.33
2001-06-19,1212.58,3.41,33.55
2001-06-20,1223.14,3.41,34.59
2001-06-21,1237.04,3.42,34.81
2001-06-22,1225.35,3.36,34.3
2001-06-25,1218.6,3.36,34.31
2001-06-26,1216.76,3.41,34.96
2001-06-27,1211.07,3.41,35.46
2001-06-28,1226.2,3.55,36.25
2001-06-29,1224.38,3.56,36.38
2001-07-02,1236.72,3.56,35.19
2001-07-03,1234.45,3.57,35.12
2001-07-05,1219.24,3.56,34.15
2001-07-06,1190.59,3.52,32.92
2001-07-09,1198.78,3.55,32.74
2001-07-10,1181.52,3.53,32.14
2001-07-11,1180.18,3.49,33.14
2001-07-12,1208.14,3.51,35.69
2001-07-13,1215.68,3.52,35.56
2001-07-16,1202.45,3.54,35.48
2001-07-17,1214.44,3.51,35.79
2001-07-18,1207.71,3.44,35.17
2001-07-19,1215.02,3.45,36.17
2001-07-20,1210.85,3.44,34.48
2001-07-23,1191.03,3.46,33.44
2001-07-24,1171.65,3.47,33.05
2001-07-25,1190.49,3.46,33.63
2001-07-26,1202.93,3.48,33.19
2001-07-27,1205.82,3.46,32.63
2001-07-30,1204.52,3.47,32.79
2001-07-31,1211.23,3.44,32.99
2001-08-01,1215.93,3.43,33.13
2001-08-02,1220.75,3.43,33.62
2001-08-03,1214.35,3.43,33.34
2001-08-06,1200.48,3.43,32.96
2001-08-07,1204.4,3.42,33.07
2001-08-08,1183.53,3.4,32.33
2001-08-09,1183.43,3.37,32.4
2001-08-10,1190.16,3.35,32.65
2001-08-13,1191.29,3.35,32.81
2001-08-14,1186.73,3.35,32.24
2001-08-15,1178.02,3.34,31.5
2001-08-16,1181.66,3.31,32.21
2001-08-17,1161.97,3.29,30.84
2001-08-20,1171.41,3.34,31.25
2001-08-21,1157.26,3.3,30.29
2001-08-22,1165.31,3.3,30.23
2001-08-23,1162.09,3.31,29.47
2001-08-24,1184.93,3.33,30.93
2001-08-27,1179.21,3.35,31.06
2001-08-28,1161.51,3.33,30.27
2001-08-29,1148.56,3.33,30.03
2001-08-30,1129.03,3.28,28.38
2001-08-31,1133.58,3.28,28.43
2001-09-04,1132.94,3.36,27.96
2001-09-05,1131.74,3.32,28.78
2001-09-06,1106.4,3.27,27.92
2001-09-07,1085.78,3.18,27.61
2001-09-10,1092.54,3.18,28.7
2001-09-17,1038.77,2.61,26.37
2001-09-18,1032.74,2.45,27.07
2001-09-19,1016.1,2.41,26.85
2001-09-20,984.54,2.21,25.3
2001-09-21,965.8,2.2,24.78
2001-09-24,1003.45,2.32,25.92
2001-09-25,1012.27,2.34,25.57
2001-09-26,1007.04,2.34,25.05
2001-09-27,1018.61,2.33,24.9
2001-09-28,1040.94,2.3,25.5
2001-10-01,1038.55,2.3,25.81
2001-10-02,1051.33,2.27,26.44
2001-10-03,1072.28,2.18,28.02
2001-10-04,1069.63,2.17,28.13
2001-10-05,1071.38,2.15,28.77
2001-10-08,1062.44,2.15,28.93
2001-10-09,1056.75,2.17,27.19
2001-10-10,1080.99,2.18,27.67
2001-10-11,1097.43,2.22,28.07
2001-10-12,1091.65,2.19,28.1
2001-10-15,1089.98,2.21,28.94
2001-10-16,1097.54,2.16,29.13
2001-10-17,1077.09,2.17,27.93
2001-10-18,1068.61,2.15,28.28
2001-10-19,1073.48,2.15,28.86
2001-10-22,1089.9,2.18,29.98
2001-10-23,1084.78,2.15,30.12
2001-10-24,1085.2,2.12,30.56
2001-10-25,1100.09,2.1,31.18
2001-10-26,1104.61,2.1,31.0
2001-10-29,1078.3,2.06,29.72
2001-10-30,1059.79,1.99,29.35
2001-10-31,1059.78,2.01,28.98
2001-11-01,1084.1,2.01,30.82
2001-11-02,1087.2,1.95,30.6
2001-11-05,1102.84,1.97,31.53
2001-11-06,1118.86,1.82,32.29
2001-11-07,1115.8,1.76,32.02
2001-11-08,1118.54,1.81,32.11
2001-11-09,1120.31,1.8,32.5
2001-11-12,1118.33,1.8,32.79
2001-11-13,1139.09,1.8,33.84
2001-11-14,1141.21,1.84,32.87
2001-11-15,1142.24,1.87,32.95
2001-11-16,1138.65,1.89,32.77
2001-11-19,1151.06,1.9,33.16
2001-11-20,1142.66,1.9,32.6
2001-11-21,1137.03,1.91,31.92
